error_type,ratio,n_pairs,median_normalized,mean_normalized,median_raw,mean_raw,min_normalized,min_raw
Numerical calculation error,0.1,303,0.699351,0.7018714290429042,0.6284443709194674,0.630709255711675,0.540745,0.4859193042590164
Numerical calculation error,0.3,909,0.4175190000000001,0.4690516732673267,0.3751870881745006,0.4214949056127877,0.2292709999999999,0.2060253997850538
Numerical calculation error,0.5,1516,0.27404599999999996,0.34780442414248014,0.2462606989523091,0.31254081646158877,0.114568,0.1029520436626265
Numerical calculation error,1.0,3032,0.114468,0.19789713390501315,0.1028621825812926,0.17783250445584775,1.9000000000002288e-05,1.707360545344372e-05
Missing or extra quantity,0.1,587,0.4517387105350952,0.49061008836309256,0.2114339315103315,0.2296274757998208,0.2869015012978763,0.1342827412416625
Missing or extra quantity,0.3,1762,0.1898553729523214,0.25865865276187083,0.08886081043203176,0.12106382427980847,0.0679859391720937,0.0318204618540462
Missing or extra quantity,0.5,2937,0.0881918727355529,0.17233059988981128,0.0412777429626282,0.08065843241788326,0.025322525022087,0.0118520748749794
Missing or extra quantity,1.0,5874,0.0253054508201652,0.09006450498505952,0.01184408338442185,0.042154218654333296,7.057825962503634e-07,3.3033783830484914e-07
Missing or incorrect factual knowledge,0.1,339,0.4200694219472572,0.43570659100956716,0.7002026710962422,0.7262678569292347,0.2440874457463286,0.4068629435115072
Missing or incorrect factual knowledge,0.3,1019,0.1565876026923892,0.22691688933744913,0.2610117564794673,0.3782417946405102,0.0678957787298248,0.1131736878214188
Missing or incorrect factual knowledge,0.5,1699,0.083741796911332,0.15590460021801342,0.1395869987582099,0.2598732776187438,0.0350797668714614,0.0584735407565915
Missing or incorrect factual knowledge,1.0,3398,0.03504404118216245,0.08551341795767961,0.05841399054472905,0.1425400672845323,1.445036123569905e-05,2.4086927081334863e-05
Misunderstanding of the question,0.1,696,0.004901499999999949,0.013173126436781585,0.00036707874808495,0.0009865499868976638,0.0033369999999999,0.0002499116152932
Misunderstanding of the question,0.3,2089,0.0026099999999999,0.005870861656294852,0.0001954657824139,0.00043967531306185383,0.0015329999999999,0.000114808063004
Misunderstanding of the question,0.5,3483,0.0017849999999999,0.003992326155612947,0.000133680621306,0.0002989897148116332,0.0008839999999999,6.620373626586466e-05
Misunderstanding of the question,1.0,6966,0.00088349999999995,0.0021958158196956306,6.616629071367811e-05,0.0001644470717370245,0.0,0.0
None of the above,0.1,210,0.6906585465853754,0.696161145603661,0.205236224885874,0.20687137825530247,0.5347457172533169,0.1589051389077296
None of the above,0.3,631,0.424879290697097,0.47442205325690046,0.1262572107244325,0.14097934745677557,0.245538533886577,0.072964277366926
None of the above,0.5,1053,0.2956530781582487,0.35655919687464493,0.0878563248613712,0.10595519866754481,0.1286624506139846,0.0382333582623888
None of the above,1.0,2106,0.1285126787304745,0.20542031512428544,0.0381888520210375,0.061042739859534,0.0001738379258156,5.1657711053865185e-05
Reached the correct solution but proceeded further,0.1,171,0.4600368149855262,0.48028128820323457,0.1230197542334617,0.12843338644441143,0.2446302894409588,0.0654172820625979
Reached the correct solution but proceeded further,0.3,515,0.1497992235941136,0.2410303517134928,0.0400582367989201,0.06445461246733394,0.0716122176529495,0.0191500269735068
Reached the correct solution but proceeded further,0.5,859,0.0849972836119749,0.16544323258808466,0.0227293655634625,0.04424164577614499,0.0380057684861885,0.0101632307378961
Reached the correct solution but proceeded further,1.0,1718,0.037925095158437255,0.09122530296628334,0.0101416576536779,0.024394817947642585,1.9294349545683632e-05,5.159556935196985e-06
Unit conversion error,0.1,120,0.5249613980441152,0.5491416208933375,0.6190994185318253,0.6476157284199391,0.3742326011441816,0.4413413760082707
Unit conversion error,0.3,361,0.2505370365958502,0.30929958694328324,0.2954642650965795,0.3647643334198617,0.0979825668164473,0.1155531632770084
Unit conversion error,0.5,602,0.11862727205282855,0.21321693991953872,0.13989995345096035,0.25145179058333106,0.0472580226715722,0.0557325061727215
Unit conversion error,1.0,1204,0.04725485632988185,0.11634956788097048,0.0557287720309224,0.1372138029384872,1.446075107296311e-05,1.7053906466571456e-05
all,0.1,2426,0.41874468162758316,0.39231126569995917,0.19993891467324015,0.29509755193364556,0.0033369999999999,0.0002499116152932
all,0.3,7286,0.14784234535088925,0.2279392197399609,0.09978821852093755,0.16972717761202102,0.0015329999999999,0.000114808063004
all,0.5,12149,0.0754147433143595,0.16117563878348082,0.0543394070989394,0.11969875293998065,0.0008839999999999,6.620373626586466e-05
all,1.0,24298,0.0198522888437396,0.08907559442665827,0.0117847482127233,0.0661770700031448,0.0,0.0
