model,error_category,n,dimension,matches,damr
base,calculation_error_easily_solved_by_a_calculator,38,mistake_identification,37,97.36842105263158
base,calculation_error_easily_solved_by_a_calculator,38,mistake_location,37,97.36842105263158
base,calculation_error_easily_solved_by_a_calculator,38,revealing_answer,38,100.0
base,calculation_error_easily_solved_by_a_calculator,38,providing_guidance,36,94.73684210526315
base,calculation_error_easily_solved_by_a_calculator,38,actionability,36,94.73684210526315
base,calculation_error_easily_solved_by_a_calculator,38,coherence,38,100.0
base,calculation_error_easily_solved_by_a_calculator,38,tutor_tone,38,100.0
base,calculation_error_easily_solved_by_a_calculator,38,human_likeness,38,100.0
base,extra_quantity_or_missing_quantity,71,mistake_identification,67,94.36619718309859
base,extra_quantity_or_missing_quantity,71,mistake_location,65,91.54929577464789
base,extra_quantity_or_missing_quantity,71,revealing_answer,70,98.59154929577466
base,extra_quantity_or_missing_quantity,71,providing_guidance,60,84.50704225352112
base,extra_quantity_or_missing_quantity,71,actionability,60,84.50704225352112
base,extra_quantity_or_missing_quantity,71,coherence,71,100.0
base,extra_quantity_or_missing_quantity,71,tutor_tone,71,100.0
base,extra_quantity_or_missing_quantity,71,human_likeness,70,98.59154929577466
base,missing_wrong_factual_knowledge,42,mistake_identification,41,97.61904761904762
base,missing_wrong_factual_knowledge,42,mistake_location,40,95.23809523809523
base,missing_wrong_factual_knowledge,42,revealing_answer,41,97.61904761904762
base,missing_wrong_factual_knowledge,42,providing_guidance,37,88.09523809523809
base,missing_wrong_factual_knowledge,42,actionability,37,88.09523809523809
base,missing_wrong_factual_knowledge,42,coherence,42,100.0
base,missing_wrong_factual_knowledge,42,tutor_tone,42,100.0
base,missing_wrong_factual_knowledge,42,human_likeness,42,100.0
base,misunderstanding_of_a_question,85,mistake_identification,81,95.29411764705881
base,misunderstanding_of_a_question,85,mistake_location,79,92.94117647058823
base,misunderstanding_of_a_question,85,revealing_answer,83,97.6470588235294
base,misunderstanding_of_a_question,85,providing_guidance,74,87.05882352941177
base,misunderstanding_of_a_question,85,actionability,74,87.05882352941177
base,misunderstanding_of_a_question,85,coherence,85,100.0
base,misunderstanding_of_a_question,85,tutor_tone,85,100.0
base,misunderstanding_of_a_question,85,human_likeness,85,100.0
base,none_of_the_above,26,mistake_identification,26,100.0
base,none_of_the_above,26,mistake_location,26,100.0
base,none_of_the_above,26,revealing_answer,26,100.0
base,none_of_the_above,26,providing_guidance,25,96.15384615384616
base,none_of_the_above,26,actionability,25,96.15384615384616
base,none_of_the_above,26,coherence,26,100.0
base,none_of_the_above,26,tutor_tone,26,100.0
base,none_of_the_above,26,human_likeness,26,100.0
base,reached_correct_solution_but_proceeded_further,21,mistake_identification,19,90.47619047619048
base,reached_correct_solution_but_proceeded_further,21,mistake_location,19,90.47619047619048
base,reached_correct_solution_but_proceeded_further,21,revealing_answer,21,100.0
base,reached_correct_solution_but_proceeded_further,21,providing_guidance,19,90.47619047619048
base,reached_correct_solution_but_proceeded_further,21,actionability,19,90.47619047619048
base,reached_correct_solution_but_proceeded_further,21,coherence,20,95.23809523809523
base,reached_correct_solution_but_proceeded_further,21,tutor_tone,21,100.0
base,reached_correct_solution_but_proceeded_further,21,human_likeness,21,100.0
base,unit_conversion_error,15,mistake_identification,13,86.66666666666667
base,unit_conversion_error,15,mistake_location,12,80.0
base,unit_conversion_error,15,revealing_answer,15,100.0
base,unit_conversion_error,15,providing_guidance,13,86.66666666666667
base,unit_conversion_error,15,actionability,13,86.66666666666667
base,unit_conversion_error,15,coherence,15,100.0
base,unit_conversion_error,15,tutor_tone,15,100.0
base,unit_conversion_error,15,human_likeness,15,100.0
sft,calculation_error_easily_solved_by_a_calculator,38,mistake_identification,15,39.473684210526315
sft,calculation_error_easily_solved_by_a_calculator,38,mistake_location,14,36.84210526315789
sft,calculation_error_easily_solved_by_a_calculator,38,revealing_answer,36,94.73684210526315
sft,calculation_error_easily_solved_by_a_calculator,38,providing_guidance,9,23.684210526315788
sft,calculation_error_easily_solved_by_a_calculator,38,actionability,9,23.684210526315788
sft,calculation_error_easily_solved_by_a_calculator,38,coherence,38,100.0
sft,calculation_error_easily_solved_by_a_calculator,38,tutor_tone,29,76.31578947368422
sft,calculation_error_easily_solved_by_a_calculator,38,human_likeness,35,92.10526315789474
sft,extra_quantity_or_missing_quantity,71,mistake_identification,25,35.2112676056338
sft,extra_quantity_or_missing_quantity,71,mistake_location,22,30.985915492957744
sft,extra_quantity_or_missing_quantity,71,revealing_answer,66,92.95774647887323
sft,extra_quantity_or_missing_quantity,71,providing_guidance,15,21.12676056338028
sft,extra_quantity_or_missing_quantity,71,actionability,18,25.352112676056336
sft,extra_quantity_or_missing_quantity,71,coherence,69,97.1830985915493
sft,extra_quantity_or_missing_quantity,71,tutor_tone,47,66.19718309859155
sft,extra_quantity_or_missing_quantity,71,human_likeness,57,80.28169014084507
sft,missing_wrong_factual_knowledge,42,mistake_identification,25,59.523809523809526
sft,missing_wrong_factual_knowledge,42,mistake_location,23,54.761904761904766
sft,missing_wrong_factual_knowledge,42,revealing_answer,36,85.71428571428571
sft,missing_wrong_factual_knowledge,42,providing_guidance,17,40.476190476190474
sft,missing_wrong_factual_knowledge,42,actionability,17,40.476190476190474
sft,missing_wrong_factual_knowledge,42,coherence,41,97.61904761904762
sft,missing_wrong_factual_knowledge,42,tutor_tone,31,73.80952380952381
sft,missing_wrong_factual_knowledge,42,human_likeness,34,80.95238095238095
sft,misunderstanding_of_a_question,85,mistake_identification,32,37.64705882352941
sft,misunderstanding_of_a_question,85,mistake_location,32,37.64705882352941
sft,misunderstanding_of_a_question,85,revealing_answer,83,97.6470588235294
sft,misunderstanding_of_a_question,85,providing_guidance,26,30.58823529411765
sft,misunderstanding_of_a_question,85,actionability,27,31.76470588235294
sft,misunderstanding_of_a_question,85,coherence,85,100.0
sft,misunderstanding_of_a_question,85,tutor_tone,65,76.47058823529412
sft,misunderstanding_of_a_question,85,human_likeness,76,89.41176470588236
sft,none_of_the_above,26,mistake_identification,9,34.61538461538461
sft,none_of_the_above,26,mistake_location,9,34.61538461538461
sft,none_of_the_above,26,revealing_answer,25,96.15384615384616
sft,none_of_the_above,26,providing_guidance,7,26.923076923076923
sft,none_of_the_above,26,actionability,7,26.923076923076923
sft,none_of_the_above,26,coherence,26,100.0
sft,none_of_the_above,26,tutor_tone,17,65.38461538461539
sft,none_of_the_above,26,human_likeness,22,84.61538461538461
sft,reached_correct_solution_but_proceeded_further,21,mistake_identification,10,47.61904761904761
sft,reached_correct_solution_but_proceeded_further,21,mistake_location,9,42.857142857142854
sft,reached_correct_solution_but_proceeded_further,21,revealing_answer,20,95.23809523809523
sft,reached_correct_solution_but_proceeded_further,21,providing_guidance,5,23.809523809523807
