dimension,model,rho,telling_types_min,telling_types_max,calculation_error_easily_solved_by_a_calculator,none_of_the_above
mistake_identification,dpo_01,0.1,0.0,24.705882352941174,28.94736842105263,46.15384615384616
mistake_identification,dpo_03,0.3,9.523809523809526,28.571428571428577,23.684210526315788,38.46153846153845
mistake_identification,dpo_05,0.5,19.047619047619044,49.411764705882355,44.73684210526315,57.69230769230769
mistake_location,dpo_01,0.1,-11.904761904761912,18.309859154929583,23.684210526315795,30.769230769230774
mistake_location,dpo_03,0.3,-4.761904761904766,23.809523809523803,13.15789473684211,23.076923076923073
mistake_location,dpo_05,0.5,14.285714285714285,42.857142857142854,34.21052631578948,42.30769230769232
revealing_answer,dpo_01,0.1,-26.76056338028168,-13.333333333333329,-26.315789473684205,-30.769230769230774
revealing_answer,dpo_03,0.3,-9.523809523809518,-2.3809523809523654,-10.526315789473685,3.8461538461538396
revealing_answer,dpo_05,0.5,-15.294117647058826,0.0,-23.68421052631578,-15.384615384615387
providing_guidance,dpo_01,0.1,-30.95238095238095,-4.761904761904759,-2.6315789473684212,3.8461538461538467
providing_guidance,dpo_03,0.3,-16.666666666666668,-4.761904761904759,5.263157894736846,11.538461538461544
providing_guidance,dpo_05,0.5,-13.333333333333329,19.047619047619047,2.6315789473684212,-3.8461538461538467
actionability,dpo_01,0.1,-33.333333333333336,-4.761904761904759,-2.6315789473684212,3.8461538461538467
actionability,dpo_03,0.3,-20.0,0.0,5.263157894736846,11.538461538461544
actionability,dpo_05,0.5,-20.0,19.047619047619047,5.263157894736846,0.0
coherence,dpo_01,0.1,-9.523809523809533,26.66666666666667,-5.26315789473685,-11.538461538461547
coherence,dpo_03,0.3,-4.761904761904773,20.0,-7.89473684210526,-15.384615384615387
coherence,dpo_05,0.5,-4.761904761904773,26.66666666666667,-5.26315789473685,-3.8461538461538396
tutor_tone,dpo_01,0.1,-54.76190476190476,-13.333333333333336,-55.26315789473685,-30.769230769230774
tutor_tone,dpo_03,0.3,-27.05882352941176,6.666666666666671,-18.421052631578952,-3.8461538461538467
tutor_tone,dpo_05,0.5,-43.529411764705884,-14.285714285714285,-42.10526315789475,-30.769230769230774
human_likeness,dpo_01,0.1,-41.176470588235304,-26.666666666666664,-42.10526315789474,-23.076923076923073
human_likeness,dpo_03,0.3,-19.047619047619044,6.666666666666671,-15.78947368421052,-7.692307692307679
human_likeness,dpo_05,0.5,-33.33333333333333,0.0,-28.947368421052637,-15.384615384615387
